AtNum,Group,OxSt,Mult,CN,NZ,Rsd,V,S,G3,VCP,RCMTop,PartOmegaOxygen,RMin,RMax,RAverage
19,E1(Li),1,8,8,6.85,1.678153,19.79628,40.57809,0.08556522,41.33307,0.250514,0.880298,2.40679,3.63967,2.90535
19,E1(Li),1,4,10,8.44,1.724485,21.48161,42.57561,0.08312112,54.65322,0,0.957484,2.7398,3.54185,3.04221
26,E8(Fe),2,8,6,5.83,1.339618,10.07006,27.75671,0.08366406,13.10556,0.019842,0.955038,2.07636,2.21352,2.15878
26,E8(Fe),2,4,6,5.1,1.287089,8.93128,26.02211,0.08547844,11.26795,0.030287,0.987394,1.85641,2.18016,2.06637
44,E8(Fe),3,8,6,5.69,1.218454,7.57733,23.21176,0.08372974,9.93743,0.012606,1,1.91802,2.00733,1.95957
44,E8(Fe),3,4,6,5.57,1.319428,9.62156,27.57044,0.0871479,11.51248,0.119173,0.999555,1.98685,2.26989,2.09113
19,E1(Li),1,8,7,6.84,1.68318,19.97469,40.80334,0.08559667,22.38843,0.250912,0.879229,2.40153,3.33003,2.80671
19,E1(Li),1,4,10,8.45,1.720055,21.31647,42.22198,0.08267182,55.29536,0,0.965212,2.73145,3.42854,3.03078
25,E7(Mn),2,8,6,5.8,1.344219,10.17416,27.95257,0.08369177,13.23266,0.01978,0.95559,2.0945,2.21884,2.16573
25,E7(Mn),2,4,6,5.85,1.368685,10.73987,29.01089,0.08425519,13.46209,0.049219,0.973614,2.18578,2.19691,2.18971
44,E8(Fe),3,8,6,5.8,1.221807,7.64006,23.32844,0.08367492,10.0338,0.013575,1,1.93082,1.98872,1.96527
44,E8(Fe),3,4,6,5.82,1.226879,7.73559,23.5327,0.08375364,10.1346,0.022542,1,1.96187,1.98938,1.97232
29,E11(Cu),2,18,4,5.12,1.396302,11.40321,29.43365,0.09147938,0,0,0.911556,1.91776,1.96352,1.94064
64,E3(Ln),3,12,9,7.32,1.402463,11.55481,28.4707,0.07999624,28.91754,0.036664,1,2.32918,2.55059,2.45131
29,E11(Cu),2,18,4,5.12,1.395145,11.37488,29.37037,0.09135572,0,0,0.911564,1.91759,1.96413,1.94086
63,E3(Ln),3,12,9,7.31,1.40172,11.53645,28.4385,0.07999198,0,0.03678,1,2.32745,2.54848,2.45016
12,E2(Be),2,2,6,5.82,1.324032,9.72264,27.31516,0.08477278,12.0205,0.021917,0.985838,2.09141,2.15095,2.11124
12,E2(Be),2,2,6,5.73,1.308236,9.37879,26.61926,0.08439436,11.72078,0.022114,0.985051,2.05206,2.1502,2.09105
13,E13(B),3,2,4,4.09,1.260448,8.38811,26.49998,0.09549812,2.50896,0.132837,0.909182,1.67769,1.7804,1.7246
13,E13(B),3,2,4,4,1.280482,8.79445,27.62523,0.09575146,2.59424,0.079671,0.917873,1.68405,1.80375,1.74777
13,E13(B),3,2,4,3.95,1.279704,8.77844,27.95497,0.09876803,2.5738,0.127408,0.93868,1.68359,1.77085,1.73132
13,E13(B),3,2,4,4.05,1.277214,8.72729,27.35716,0.09568083,2.6067,0.101201,0.914975,1.70336,1.79091,1.74554
37,E1(Li),1,4,10,7.75,1.732731,21.79123,42.97403,0.08074184,56.41122,0.086396,0.981537,2.84426,3.40721,3.06987
42,E6(Cr),6,4,6,4.56,1.209439,7.41039,23.27067,0.08594203,9.68557,0.056829,0.999755,1.68241,2.27969,1.9645
29,E11(Cu),1,4,2,4.84,1.515669,14.58485,33.68617,0.08986022,0,0.03826,0.413212,1.85002,1.85328,1.85165
29,E11(Cu),1,4,2,4.89,1.498382,14.09148,33.28366,0.09023382,0,0.109231,0.526627,1.8727,1.8874,1.88005
29,E11(Cu),1,4,2,4.67,1.554048,15.72106,35.58228,0.09197653,0,0.101284,0.427444,1.84275,1.84683,1.84479
29,E11(Cu),1,4,2,4.89,1.499985,14.13674,33.33356,0.0901781,0,0.085966,0.525372,1.8705,1.87265,1.87157
82,E14(Ñ),2,2,8,7.04,1.60038,17.1695,37.54649,0.08432702,31.78325,0.204996,0.96022,2.50867,2.97907,2.68126
82,E14(Ñ),2,1,12,9.25,1.55861,15.85992,34.03844,0.07932461,54.01319,0,0.99759,2.66768,3.03888,2.82791
82,E14(Ñ),2,2,9,6.48,1.559821,15.89692,35.16681,0.08163592,36.67194,0.119058,0.986144,2.50105,2.91724,2.69881
25,E7(Mn),2,4,6,5.93,1.349398,10.29223,27.87581,0.08304795,13.77205,0.004529,0.941218,2.13455,2.22257,2.18069
25,E7(Mn),2,4,6,6.7,1.348273,10.2665,27.30783,0.08271487,13.90193,0.00035,0.868101,2.13998,2.22541,2.18743
25,E7(Mn),2,2,6,5.74,1.366896,10.69782,29.06498,0.08481651,13.46524,0,0.987771,2.12951,2.2144,2.18409
25,E7(Mn),2,4,6,5.64,1.362716,10.59997,28.589,0.08369119,13.73542,0.020302,0.974375,2.13689,2.24045,2.19177
63,E3(Ln),2,4,6,7.8,1.48991,13.85378,32.08818,0.08048887,17.91323,0.081087,0.744685,2.44985,2.66519,2.53914
63,E3(Ln),2,2,6,7.05,1.594157,16.97001,37.04713,0.08353932,20.32541,0,0.837556,2.54612,2.57955,2.55906
22,E4(Ti),4,2,6,5.15,1.209198,7.40596,22.78716,0.08371028,9.8308,0.031809,0.995807,1.79794,2.04575,1.95219
56,E2(Be),2,8,8,7.81,1.618639,17.7639,37.88144,0.08126266,35.28158,0.049328,0.870201,2.72312,2.88057,2.77655
83,E15(N),3,4,6,6.43,1.525885,14.88176,33.71434,0.09339438,9.71165,0.446502,0.954875,2.12325,2.51766,2.33563
29,E11(Cu),2,8,5,5.48,1.297675,9.15348,26.03508,0.0848047,6.12146,0.020071,0.879921,1.9551,2.18817,2.01287
29,E11(Cu),2,8,5,5.42,1.29938,9.18961,26.3713,0.08510338,6.13721,0.012021,0.902435,1.95887,2.1564,2.00979
11,E1(Li),1,2,6,6.6,1.504763,14.27226,33.77528,0.08543412,15.39978,0.044316,0.897619,2.34453,2.41636,2.38231
11,E1(Li),1,2,6,6.24,1.480736,13.59945,33.14887,0.08422475,16.6762,0.017688,0.917295,2.32057,2.43136,2.3691
