RefCode;AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen
XEBBEO01;40;E4;4;4;7;6,33;1,30848;9,38404;25,89226;0,08543289;14,15443;0,099138;0,999955
XEBBEO01;40;E4;4;4;7;5,99;1,28512;8,89037;24,98841;0,08222475;15,3464;0,047639;1
XEBBEO01;40;E4;4;4;8;6,56;1,290213;8,99648;24,56551;0,08138506;18,81512;0,047362;0,99901
XEBBEO01;40;E4;4;4;7;6,3;1,312689;9,4749;26,06104;0,08563215;14,30749;0,110522;1
XEBBEO01;40;E4;4;4;7;6,19;1,298161;9,16377;25,68107;0,08494984;14,08008;0,081732;1
XEBBEO01;40;E4;4;4;7;5,93;1,308426;9,38289;25,86373;0,08426692;14,4981;0,079813;1
XEBBEO01;40;E4;4;4;7;6,07;1,301534;9,23539;25,75049;0,08499171;14,15225;0,093947;1
XEBBEO01;40;E4;4;4;7;6,18;1,304876;9,30672;25,90477;0,08440725;14,56624;0,082039;1
XEBBEO01;40;E4;4;4;8;6,55;1,288638;8,96358;24,53365;0,08157105;18,67342;0,048522;0,999967
XEBBEO01;40;E4;4;4;6;5,05;1,29633;9,12505;26,49471;0,0851564;11,45424;0,069116;1
XEDKOJ01;64;Ln;3;8;9;7,58;1,408864;11,71375;28,67686;0,08010156;28,81288;0,012499;0,982242
XEYREZ01;20;E2;2;4;8;6,66;1,445947;12,66327;30,91173;0,0815099;25,93061;0,017159;0,985581
XIJVIY;40;E4;4;24;8;7,83;1,271702;8,61479;23,88373;0,08269743;17,50499;0,094984;1
XIJVIY02;40;E4;4;24;8;7,82;1,278417;8,75199;24,15479;0,08296665;17,703;0,101;1
XIJXAS;19;E1;1;4;9;8,06;1,645054;18,64787;38,15645;0,0796874;48,59021;0,025417;0,812181
XIMBUT;29;E11;2;18;5;5,4;1,288443;8,95951;25,85036;0,08542813;5,85635;0,03052;0,880703
XINTOG;49;E13;3;4;6;5,5;1,50057;14,15329;34,26967;0,08852106;13,37127;0,170708;0,946534
XISKES;29;E11;2;8;5;5,41;1,321134;9,65894;26,24779;0,08680213;5,9752;0,118283;0,893759
XISTAX;30;E12;2;2;6;5,23;1,343355;10,15456;28,59851;0,08652529;11,41202;0,029402;0,964234
XIXCIT;20;E2;2;4;8;6,75;1,439734;12,50074;30,64348;0,08174339;24,84553;0,046192;0,991788
XIZCOB;12;E2;2;4;4;5,44;1,362169;10,58721;28,05589;0,0873373;3,09319;0,011937;0,73393
XIZCOB;13;E13;3;4;4;3,97;1,25261;8,23259;26,47855;0,09259752;2,58083;0,047467;0,905927
XIZCOB;13;E13;3;4;4;3,95;1,265727;8,49392;26,80397;0,0938975;2,58956;0,077127;0,907568
XIZHEW;45;E9;2;2;5;5,58;1,316411;9,55571;26,79625;0,08386718;6,42228;0,020636;0,831062
XIZQAB;11;E1;1;2;6;7,04;1,476371;13,47955;32,13189;0,08499038;15,97853;0,161125;0,845417
XIZQAB;37;E1;1;2;8;7,59;1,757478;22,7383;44,22065;0,08140939;46,53785;0,063272;0,846291
XIZQIJ;11;E1;1;4;6;4,11;1,608207;17,42267;39,27735;0,09558661;13,72953;0,388834;0,840837
XIZQIJ;55;E1;1;4;8;7,58;1,931996;30,20697;54,42691;0,0866067;49,58232;0,170157;0,831902
XODLUA;62;Ln;3;8;9;7,58;1,417448;11,92916;28,91275;0,07994496;29,54663;0,008007;0,970282
XODMAH;63;Ln;3;8;9;7,6;1,407863;11,68881;28,56848;0,07998453;28,9474;0,006653;0,978143
XODMEL;64;Ln;3;8;9;7,62;1,400846;11,51488;28,26427;0,07996508;28,57555;0,007763;0,975208
XODMIP;65;Ln;3;8;9;7,5;1,394972;11,37065;28,04262;0,07996871;28,25424;0,00984;0,97756
XODMOV;66;Ln;3;8;9;7,49;1,387922;11,19913;27,75125;0,0799641;27,85785;0,012948;0,976519
XODMUB;67;Ln;3;8;9;7,41;1,377473;10,94808;27,38581;0,08002885;27,22653;0,01408;0,984589
XODNAI;68;Ln;3;8;9;7,3;1,373518;10,85406;27,20882;0,08000292;27,11711;0,011759;0,978621
XODNEM;70;Ln;3;8;9;7,59;1,400958;11,51765;28,29939;0,07998538;28,53211;0,009064;0,981306
XOGZOL;48;E12;2;4;6;5,99;1,42023;11,99954;31,02234;0,08441783;15,02892;0,030395;0,962727
XOGZOL;48;E12;2;8;7;5,56;1,426831;12,16765;30,84206;0,08369475;19,46662;0,071457;0,957954
XOGZOL;48;E12;2;8;7;5,62;1,461863;13,08606;31,93484;0,08409257;18,25917;0,054122;0,909213
XOGZOL;48;E12;2;4;6;5,76;1,428447;12,20902;31,1946;0,08375011;15,88802;0,04629;0,909732
XOHYUR;20;E2;2;2;6;5,85;1,445832;12,66024;31,22385;0,08323759;16,61509;0,092362;0,866691
XOHZEC;38;E2;2;6;8;9,24;1,520517;14,72525;32,51314;0,08015095;31,9775;0,005763;0,7571
XOHZEC;38;E2;2;6;8;6,83;1,53507;15,15211;34,68381;0,08269402;29,54514;0,10381;0,981747
XOHZEC;38;E2;2;6;8;7,7;1,517684;14,64308;33,41711;0,08113016;28,56262;0,001398;0,936608
XOKGOW;25;E7;2;4;6;6,06;1,347498;10,2488;27,77807;0,08356381;13,488;0;0,933716
XOKSAU;80;E12;1;2;4;5,24;1,674929;19,68239;41,49719;0,08958017;8,03067;0,255458;0,670542
XOKSAU;80;E12;1;2;4;5,24;1,68542;20,05454;42,18409;0,09202716;8,39229;0,268172;0,623625
XOKZOP;38;E2;2;4;9;7,53;1,49653;14,03928;31,96662;0,08054167;30,81632;0,068865;0,92366
XOKZOP;38;E2;2;4;13;7,78;1,46803;13,25237;30,80921;0,08081929;35,93518;0,060072;0,999962
XOKZOP;92;An;6;4;8;4,59;1,306658;9,34489;25,73078;0,0833002;18,43299;0,007886;1
XOKZOP;92;An;6;4;8;4,57;1,309519;9,40642;25,86318;0,08344556;18,53208;0,00711;1
XOKZOP;92;An;6;4;8;4,58;1,310126;9,41949;25,88383;0,08340919;18,55291;0,003837;1
XOKZOP;92;An;6;4;8;4,58;1,305987;9,33051;25,72171;0,08343875;18,40182;0,008741;1
XOKZUV;56;E2;2;2;11;7,73;1,568044;16,14964;34,94875;0,08073871;40,00491;0,095715;0,909789
XOKZUV;56;E2;2;2;16;13,16;1,550757;15,6214;33,33169;0,07922709;53,40284;0,014327;1
XOKZUV;92;An;6;2;8;4,57;1,309636;9,40894;25,86778;0,08344321;18,53994;0,003897;1
