RefCode;AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen
SOFKAC;81;E13;1;8;6;6,56;1,739659;22,05369;42,47514;0,08293692;22,9172;0,283169;0,577594
SOFKAC;81;E13;1;8;10;7,69;1,771034;23,26854;43,85145;0,08127244;55,69089;0,170107;0,767151
SOFKAC;81;E13;1;8;6;7,71;1,727568;21,59703;41,98708;0,0805165;27,64927;0,125352;0,676943
SOFKAC;81;E13;1;8;8;6,61;1,751628;22,512;43,76655;0,08244977;42,34246;0,147196;0,840889
SOGKEE01;19;E1;1;2;4;7,35;1,656438;19,03767;38,698;0,08138831;5,94581;0,052537;0,418569
SOKFIK;30;E12;2;4;4;4,99;1,34814;10,26345;28,13007;0,08666622;3,64227;0,076552;0,9026
SOKFOQ;30;E12;2;4;4;5,19;1,345532;10,20401;27,91085;0,08613812;3,61359;0,078826;0,903599
SOKGAD;30;E12;2;4;4;5,15;1,346623;10,22884;27,93172;0,08618418;3,65071;0,075251;0,898959
SOLHOT;40;E4;4;4;8;8;1,225245;7,70473;22,21003;0,08157398;15,24922;0;1
SOLHOT;40;E4;4;16;8;7,22;1,272142;8,62373;23,8275;0,08102237;18,10759;0,022934;1
SOLHUZ;40;E4;4;4;8;8;1,187574;7,0157;20,9205;0,08180465;13,72955;0;1
SOLHUZ;40;E4;4;16;8;7,1;1,222298;7,64927;22,0487;0,0814466;15,94638;0,021473;1
SOMJIN01;22;E4;4;2;4;4,4;1,288329;8,95712;27,50494;0,09180022;2,95965;0;0,910103
SOMRIY;64;Ln;3;4;9;6,96;1,402945;11,56673;28,56411;0,08040282;29,00741;0,019093;0,998804
SOMVOI;49;E13;3;2;8;7,51;1,351454;10,33933;27,04211;0,08131176;21,22086;0,011616;0,99653
SOMVOI;49;E13;3;2;8;7,18;1,351805;10,34739;27,07969;0,08133049;21,31824;0,015034;0,999142
SOMVOI;49;E13;3;2;8;7,07;1,352665;10,36716;27,19084;0,08183216;21,2717;0,014357;0,999735
SONGEK;64;Ln;3;2;9;7,82;1,40615;11,64619;28,29351;0,07986597;28,63635;0,028718;0,963789
SOVTIJ;22;E4;4;4;4;4,47;1,273629;8,65401;26,50492;0,09278057;3,0037;0,108488;0,861404
SOVTUV;22;E4;4;2;4;4,46;1,28959;8,98347;27,35215;0,09053769;3,0307;0;0,897019
SOVVUX;22;E4;4;2;4;4,21;1,302682;9,25985;28,92138;0,09503945;2,94447;0,026071;0,937292
SOVWAE;22;E4;4;4;4;4,21;1,301171;9,22767;28,99666;0,0959901;2,88963;0,012387;0,94827
