AtNum;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen;Topology;CP composition
25;2;4;6;6,23;1,359998;10,53668;28,26073;0,08348443;26,78381;0,005125;0,977845;{14/36/24-321};O6
74;6;4;5;4,29;1,248701;8,15575;26,00872;0,09710634;27,92126;0,176165;0,987682;{12/30/20-231};O5
29;2;2;5;5,45;1,285062;8,88917;25,42721;0,08457551;21,62931;0,038346;0,861377;{12/30/20-430};O5
3;1;4;4;4,48;1,367556;10,71332;30,33563;0,09325373;29,40905;0,075226;0,826335;{11/27/18-225};O4
3;1;4;4;4,19;1,390339;11,25773;32,16743;0,09626478;26,20301;0,163397;0,881428;{12/30/20-457};O4
30;2;4;4;4,38;1,387848;11,19732;30,96711;0,09004599;28,81117;0,042242;0,92429;{12/30/20-458};O4
27;2;2;6;5,71;1,298313;9,167;26,23763;0,08402875;16,92492;0;0,992769;{8/18/12-3};O6
64;3;16;10;7,59;1,410191;11,74689;28,48718;0,0797371;36,24969;0,003316;0,999998;{12/30/20-13};O10
3;1;2;6;5,87;1,328413;9,81947;27,43364;0,08403639;28,69143;0,008309;0,986866;{14/36/24-107};O6
3;1;2;6;5,85;1,33617;9,99248;27,6153;0,08430459;31,90777;0,029536;0,97572;{16/42/28-559};O6
3;1;2;4;4,64;1,324746;9,73837;27,64608;0,08789001;23,19819;0,026551;0,819738;{12/30/20-459};O4
3;1;2;4;4,6;1,338524;10,04539;28,34876;0,08865428;32,37367;0,043208;0,828115;{15/39/26-506};O4
3;1;2;4;4,58;1,3722;10,82282;29,74785;0,09081289;32,29273;0,112093;0,823413;{12/30/20-460};O4
3;1;2;4;4,68;1,386977;11,17627;31,00458;0,09079941;30,96868;0,072482;0,882357;{16/42/28-560};O4
68;3;4;9;8,33;1,378205;10,96555;27,26426;0,07987006;31,53805;0,016628;0,98754;{12/30/20-87};O9
70;3;4;9;8,28;1,368239;10,72938;26,90091;0,07986477;30,68101;0,015217;0,99262;{12/30/20-389};O9
60;3;4;9;8,56;1,429217;12,22878;29,33933;0,08001212;34,93689;0,019101;0,986395;{12/30/20-87};O9
62;3;4;9;8,47;1,414289;11,84959;28,73056;0,07997557;33,91136;0,018408;0,987888;{12/30/20-87};O9
63;3;4;9;8,47;1,406325;11,65053;28,42807;0,07996106;32,42471;0,01717;0,991686;{12/30/20-461};O9
64;3;4;9;8,45;1,402625;11,55881;28,246;0,07993527;33,15578;0,017587;0,987025;{12/30/20-87};O9
65;3;4;9;8,38;1,395586;11,38567;27,96128;0,07991778;32,68488;0,018137;0,987286;{12/30/20-87};O9
66;3;4;9;8,37;1,388312;11,20855;27,66722;0,07989695;32,21147;0,016257;0,987195;{12/30/20-87};O9
67;3;4;9;8,4;1,38397;11,10372;27,49755;0,07989601;31,92089;0,017362;0,987956;{12/30/20-87};O9
4;2;16;4;4,12;1,198563;7,21225;25,69708;0,09955129;16,27858;0,012097;0,957438;{11/27/18-226};O4
4;2;16;4;4,25;1,183234;6,93906;24,33939;0,0968031;11,34561;0,041824;0,936345;{10/24/16-8};O4
4;2;16;4;4,21;1,183145;6,93749;24,3805;0,09770834;18,67839;0,047906;0,937291;{14/36/24-671};O4
4;2;16;4;4,15;1,192242;7,09875;25,24871;0,09866033;13,39128;0,019899;0,947782;{10/24/16-93};O4
4;2;8;4;4,17;1,194937;7,14699;25,44202;0,0987832;12,19979;0,037757;0,941808;{10/24/16-94};O4
4;2;8;4;4,21;1,193031;7,11286;25,336;0,0993655;9,26466;0,008783;0,949767;{10/24/16-37};O4
82;2;4;6;7,15;1,616024;17,67795;37,59001;0,0863348;62,47942;0,323598;0,756878;{17/45/30-392};O6
82;2;4;7;6,46;1,60768;17,40552;37,94304;0,0844927;60,84183;0,193502;0,911053;{14/36/24-672};O7
19;1;2;8;9,03;1,678998;19,82617;39,67211;0,08021599;95,67804;0;0,847634;{28/78/52-16};O8
19;1;2;8;9,04;1,659728;19,15135;38,96742;0,0805321;84,8135;0;0,863463;{24/66/44-52};O8
20;2;2;8;7,17;1,438046;12,45681;30,44248;0,08064325;26,77727;0;1;{8/18/12-2};O8
