AtNum,Group,NumGroup,OxSt,Mult,CN,NZ,Rsd,V,S,G3,VCP,RCMTop,HD_PartOmega,B_PartOmega,C_PartOmega,N_PartOmega,O_PartOmega,F_PartOmega,Me_PartOmega
30,E12(Zn),12,2,18,5,5.56,1.33441,9.95306,27.15735,0.08553974,6.58948,0.05143,0.072208,0,0.000173,0.161494,0.712631,0,0.053493
30,E12(Zn),12,2,4,4,4.56,1.423928,12.09352,32.7739,0.09129181,3.91948,0.046732,0.127675,0.006722,0.003885,0.861718,0,0,0
27,E9(Co),9,2,8,6,5.11,1.319277,9.61826,27.463,0.08514724,12.01156,0.020432,0.002251,0,0,0.3397,0.65805,0,0
27,E9(Co),9,2,4,6,5.14,1.305219,9.31406,26.93134,0.08517717,11.71321,0.002588,0.000201,0,0,0.343422,0.656377,0,0
27,E9(Co),9,2,4,4,4.59,1.411519,11.7801,32.14086,0.09387088,3.60577,0.106701,0.122806,0,0.020706,0.423079,0.433409,0,0
30,E12(Zn),12,2,2,4,4.62,1.361828,10.57926,29.44305,0.08935953,3.78334,0.090423,0.180325,0,0.004552,0.382169,0.432954,0,0
26,E8(Fe),8,2,4,10,10.14,1.284182,8.87091,25.42521,0.09105563,11.43782,0.075554,0.031966,0,0.968033,0,0,0,0
50,E14(C),14,2,4,4,5.59,1.621013,17.8422,37.16624,0.08714539,5.56426,0.36217,0.396977,0,0.010912,0.592111,0,0,0
50,E14(C),14,2,4,4,5.71,1.608626,17.43628,37.97774,0.08961437,6.03663,0.353375,0.375753,0,0.000037,0.62421,0,0,0
37,E1(Li),1,1,16,8,7.46,1.730937,21.72364,41.96341,0.08001305,46.81067,0.023284,0.233381,0,0.00157,0,0.76505,0,0
50,E14(C),14,4,2,4,5.7,1.639127,18.44702,38.47452,0.08989698,5.32332,0.433886,0.367944,0,0,0.632056,0,0,0
29,E11(Cu),11,2,4,4,5.19,1.314893,9.52268,27.24095,0.08695609,0.06388,0.014265,0,0,0,0.234448,0.765552,0,0
3,E1(Li),1,1,4,4,4.35,1.430328,12.25731,31.91619,0.08987027,4.09589,0.076069,0.193103,0,0.040223,0.314921,0.451754,0,0
3,E1(Li),1,1,4,4,4.34,1.442273,12.56698,32.25313,0.08929388,4.14135,0.10377,0.186979,0,0.070324,0.298277,0.44442,0,0
3,E1(Li),1,1,4,4,4.34,1.419171,11.97273,31.37183,0.08986472,3.97049,0.122292,0.226211,0,0.011134,0.308966,0.453689,0,0
11,E1(Li),1,1,4,8,6.74,1.495489,14.01002,32.77936,0.08373277,26.51997,0.111135,0,0,0.033072,0,0.949191,0,0.017737
11,E1(Li),1,1,4,9,6.54,1.47715,13.5009,31.44822,0.08054549,32.40282,0.024898,0,0,0.008466,0,0.970445,0,0.021089
11,E1(Li),1,1,4,6,6.18,1.488103,13.80346,34.29616,0.09046244,11.9569,0.074244,0,0,0.006788,0,0.973714,0,0.019498
64,E19(Ln),19,3,4,9,7.1,1.409102,11.71969,28.79728,0.0806005,28.1538,0.032652,0,0,0,0,0.998811,0,0.001189
29,E11(Cu),11,2,4,5,5.21,1.333915,9.94199,27.48152,0.0865131,6.59447,0.077623,0.021204,0,0.001436,0.279097,0.698263,0,0
28,E10(Ni),10,2,2,4,4.87,1.385577,11.14245,30.12457,0.09189566,0.14235,0.081705,0.054361,0,0.040602,0.905036,0,0,0
28,E10(Ni),10,2,2,4,4.67,1.431595,12.28993,32.16105,0.09984649,0.13587,0.213438,0.161838,0,0.007359,0.811331,0,0,0
27,E9(Co),9,2,4,4,4.79,1.38283,11.07631,30.25177,0.08897808,3.87401,0.035663,0.081213,0,0.000015,0,0.918773,0,0
27,E9(Co),9,2,4,4,4.91,1.382524,11.06895,30.24842,0.08964515,3.37885,0.085086,0.046253,0,0.000028,0.77244,0.181279,0,0
64,E19(Ln),19,3,8,16,13.96,1.55272,15.68081,34.96184,0.08320788,38.78027,0.080391,0,0,1,0,0,0,0
66,E19(Ln),19,3,8,16,13.73,1.532311,15.07056,33.9439,0.08292146,37.97516,0.080599,0,0,1,0,0,0,0
12,E2(Be),2,2,2,6,5.65,1.289237,8.97607,25.94172,0.08358193,11.92296,0,0,0,0,0,1,0,0
12,E2(Be),2,2,1,6,6,1.277516,8.7335,25.44577,0.08333549,11.64376,0,0,0,0,0,1,0,0
12,E2(Be),2,2,3,6,6,1.290534,9.0032,25.99181,0.08349986,11.93466,0,0,0,0,0,1,0,0
12,E2(Be),2,2,4,4,4.09,1.404089,11.59504,34.93077,0.09918595,3.52371,0.004623,0,0,0.022815,0,0.977185,0,0
12,E2(Be),2,2,4,6,6.11,1.283857,8.86417,25.25877,0.08297212,11.90911,0,0.048556,0,0,0,0.951444,0,0
12,E2(Be),2,2,8,6,5.51,1.306367,9.33866,26.73157,0.08439066,12.04399,0.063609,0,0,0.001027,0,0.998943,0,0.000029
80,E12(Zn),12,2,2,5,4.44,1.684356,20.01662,43.40281,0.10432532,10.67108,0.463878,0,0,0.011644,0.436821,0.551536,0,0
80,E12(Zn),12,2,2,5,4.36,1.746481,22.31415,46.9691,0.10355338,9.86156,0.481139,0,0,0.000493,0.462552,0.534491,0,0
28,E10(Ni),10,2,4,4,4.65,1.430918,12.27248,32.80739,0.10201595,0.34795,0.108403,0,0,0.155073,0.844927,0,0,0
28,E10(Ni),10,2,8,4,4.63,1.524012,14.82703,36.71933,0.11175225,0.28548,0.136786,0,0,0.143365,0.854335,0,0,0.0023
29,E11(Cu),11,2,4,4,4.98,1.360193,10.54122,28.78039,0.08909971,0.42569,0.041252,0.099838,0,0.002825,0.378024,0.519313,0,0
29,E11(Cu),11,2,4,4,5.02,1.356548,10.45668,28.52255,0.0885825,0.44436,0.027094,0.107723,0,0.001084,0.375058,0.516135,0,0
29,E11(Cu),11,2,2,4,4.82,1.478403,13.53527,33.83516,0.10161036,0,0,0.185346,0,0.000851,0.399024,0.414779,0,0
29,E11(Cu),11,2,2,4,4.91,1.396988,11.42001,30.64701,0.09136751,0,0,0.013682,0,0.010124,0.389662,0.586533,0,0
24,E6(Cr),6,2,4,5,5.25,1.336065,9.99014,27.6552,0.09129156,5.91791,0.245199,0,0,0.083065,0.348106,0.380294,0,0.188535
24,E6(Cr),6,2,4,5,5.18,1.337864,10.03055,27.76041,0.09179894,5.8676,0.258135,0,0,0.084559,0.343106,0.383799,0,0.188535
47,E11(Cu),11,1,2,2,4.38,1.72037,21.32818,44.0409,0.08916152,0,0.167361,0.049385,0,0.036116,0.513686,0.393112,0,0.007701
47,E11(Cu),11,1,2,2,4.41,1.693148,20.3317,42.33067,0.08728705,0,0.147078,0.0079,0,0.116802,0.570656,0.298929,0,0.005715
4,E2(Be),2,2,2,4,3.87,1.25678,8.31507,28.19858,0.10175655,2.3551,0.031219,0,0,0.030078,0.453293,0.516629,0,0
28,E10(Ni),10,1,2,4,4.78,1.403249,11.57425,30.9878,0.09781009,0.44252,0.054748,0,0,0.052351,0.875895,0,0,0.071754
46,E10(Ni),10,2,4,4,4.68,1.485999,13.74498,33.40137,0.09794932,0.21881,0.090336,0.186005,0,0.040152,0.554792,0.219051,0,0
46,E10(Ni),10,2,6,4,4.95,1.438589,12.47093,31.12984,0.09351046,0.52334,0.082441,0.224837,0,0.032274,0.540936,0.201953,0,0
70,E19(Ln),19,2,2,12,6.38,1.580728,16.54475,36.0532,0.08335302,29.38914,0.002447,0.139403,0,0.54804,0,0.312556,0,0
30,E12(Zn),12,2,4,4,4.44,1.373809,10.86094,30.49601,0.09101097,3.56865,0.074651,0.090558,0,0,0,0.909442,0,0
80,E12(Zn),12,2,2,2,4.6,1.696831,20.46463,43.47787,0.09476476,0,0,0.338002,0,0.45122,0,0.19826,0,0
29,E11(Cu),11,2,1,4,5.19,1.431917,12.29822,31.36669,0.08902873,0,0,0.069419,0,0,0.765841,0,0,0
50,E14(C),14,2,8,3,5.13,1.614741,17.6359,37.95016,0.09057001,0,0.390176,0.309985,0,0.039571,0.650444,0,0,0
50,E14(C),14,2,8,3,5.19,1.595084,16.99962,36.84673,0.08866415,0,0.362578,0.308032,0,0.038815,0.653153,0,0,0
50,E14(C),14,2,4,4,5.82,1.610395,17.49386,37.42229,0.09097241,4.94607,0.435714,0.333422,0,0.029511,0.637067,0,0,0
50,E14(C),14,2,4,4,5.85,1.595666,17.01824,36.82089,0.08991437,5.09708,0.413889,0.349601,0,0.021138,0.629261,0,0,0
30,E12(Zn),12,2,2,4,4.94,1.384754,11.12259,30.30437,0.08900191,3.76669,0.02702,0.06886,0,0.001332,0.400695,0.529112,0,0
47,E11(Cu),11,1,2,5,4.66,1.645073,18.64852,40.55458,0.09054557,11.31494,0.245949,0.066856,0,0.050397,0,0.738815,0,0.143007
