RefCode;Element;Name;AtNum;Group;Period;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen;
109783;Co;Co1;27;E9;4;2;2;6;5,92;1,301068;9,22546;26,19221;0,08337978;12,261;0,00;0,983092;
109783;Co;Co3;27;E9;4;2;4;6;5,45;1,307426;9,36138;26,72205;0,08416882;12,054;0,05;1;
109783;Co;Co4;27;E9;4;2;4;6;5,58;1,302654;9,25924;26,44205;0,08412942;11,916;0,03;0,991065;
110301;Zn;Zn1;30;E12;4;2;8;4;4,72;1,380544;11,02146;30,38712;0,09077957;3,62088;0,00;0,848453;
110301;Zn;Zn2;30;E12;4;2;16;4;4,29;1,403699;11,58539;32,83667;0,09283204;3,7328;0,06;0,917219;
110489;Zn;Zn1;30;E12;4;2;8;4;4,43;1,386783;11,17156;31,05959;0,0916868;3,71943;0,10;0,916224;
110739;Bi;Bi1;83;E15;6;5;1;6;5,98;1,275911;8,7006;25,38216;0,0833381;11,59923;0,00;1;
130171;In;In1;49;E13;5;3;2;6;6,84;1,308752;9,3899;25,35626;0,08295318;12,53431;0,00;0,824476;
132044;Eu;Eu1;63;Ln;6;3;2;8;7,25;1,417957;11,94203;29,59255;0,08164028;24,75241;0,01;0,995857;
132044;V;V1;23;E5;4;5;2;6;4,27;1,185541;6,97973;22,362;0,08572097;9,05202;0,04;0,998758;
132044;V;V2;23;E5;4;5;2;6;4,4;1,180343;6,88832;21,98871;0,08523152;8,90355;0,03;0,992156;
132044;V;V3;23;E5;4;5;2;6;4,32;1,18533;6,976;22,36678;0,0855797;8,9713;0,03;1;
132044;V;V4;23;E5;4;5;2;6;4,64;1,184862;6,96774;22,33347;0,0856258;9,00356;0,02;0,999958;
132044;V;V5;23;E5;4;5;2;6;4,41;1,18762;7,01651;22,04765;0,08492182;9,17445;0,04;0,980703;
141636;Co;Co1;27;E9;4;2;4;6;5,88;1,322516;9,68927;27,22439;0,08422527;12,43763;0,00;0,97792;
141636;Co;Co2;27;E9;4;2;4;6;5,83;1,322029;9,67858;27,35779;0,0862399;11,56608;0,00;0,97352;
141636;Co;Co3;27;E9;4;2;4;5;5,38;1,316327;9,55388;26,95253;0,08494699;6,65267;0,03;0,920373;
141877;Al;Al1;13;E13;3;3;1;6;5,93;1,183299;6,94021;21,8561;0,0835246;9,18975;0,00;1;
141877;K;K1;19;E1;4;1;2;9;8,32;1,689953;20,21679;40,05487;0,08079309;46,68486;0,12;0,949865;
